Crunchbase Rank,Company Name,Total Funding,Number of Employees,Scraped Jobs Count
12234,Kava Labs,1200000,11-50,1
12250,Spacemesh,18200000,11-50,5
12259,Chain,43700000,11-50,118
12259,Chain,43700000,11-50,37
12259,Chain,43700000,11-50,24
12344,True-Tickets,11332501,11-50,
12377,Coincover,11592068,11-50,
12388,InvestaX,150000,11-50,
12405,TokenInsight,2000000,11-50,
12441,Cabital,4000000,51-100,
12462,Coinweb,4000000,11-50,
12467,Stakes,5300000,1-10,
12476,Rarify,12000000,1-10,2
12521,Mint Songs,4250000,11-50,3
12524,Delysium,4000000,,
12542,Trailblazer Games,8200000,1-10,
12547,LedgerX,13900000,11-50,
12565,Applied Blockchain,4568269,11-50,9
12581,Live Bash,40825000,1-10,
12600,Opyn,9110000,1-10,8
12617,Tesseract,25371782,11-50,1
12629,TransCrypts,850182,1-10,
12672,Akt,29967701,51-100,
12701,Sorare,739245791,51-100,
12761,Terra Virtua,2500000,11-50,
12774,GlobaliD,6000000,51-100,1
12786,Hex Trust,104000000,51-100,
12837,Streetbeat,12000000,11-50,
12857,Coin Metrics,59399999,11-50,55
12871,Neon Labs,40000000,11-50,28
12877,FalconX,326999952,101-250,
12884,Buenbit,11000000,101-250,
12902,Hcash,53000000,11-50,
12916,MathWallet,19800000,11-50,
12923,Telcoin,10000000,1-10,11
12931,Hummingbot,14218300,51-100,
12941,Rare Bits,6000000,1-10,
12962,Bastion,11000000,,
12964,TenX,125170000,51-100,
12967,Parcl,3972465,11-50,13
12981,Rift Finance,18000000,1-10,10
13023,Swype,3750000,1-10,
13030,Odiggo,3041000,11-50,
13065,Blur,11000000,,
13118,Hawksight.co,4200000,11-50,
13148,A.L.I. Technologies Japan,21900387,,
13230,Gelato Network,12200000,1-10,2
13304,Bit.Country Network,40000000,11-50,
13318,Plutus,5000000,11-50,
13327,Meson Network,9400000,11-50,
13335,Alice,2000000,1-10,
13369,Sommelier,27500000,1-10,
13404,Evernym,16500000,51-100,
13406,SenseiNode,3600000,11-50,
13460,Bitfury Group,170000000,501-1000,140
13460,Bitfury Group,170000000,501-1000,92
13493,Chainflip,6000000,11-50,5
13503,The Sandbox,95000000,101-250,
13562,Sparrow,14190000,11-50,
13586,Flux Protocol,22020000,11-50,
13641,Sound,5000000,,
13681,HashCash Consultants,150000000,501-1000,
13687,Bitbuy,1239249,51-100,
13786,Iskra,34458711,,
13827,Metrika,17700000,11-50,11
13869,ArDrive,18800000,1-10,
13876,FUEL,1663729,1-10,12
13876,FUEL,1663729,1-10,7
13953,Panther Protocol,11300000,,5
13964,Infinite Objects,8080000,11-50,3
13967,Heroes of Mavia,8000000,,
13985,Foxbit,21130000,11-50,1
14004,Euler,8800000,1-10,
14031,INDODAX,1050000,101-250,
14035,Orbs,111000000,51-100,
14042,Sifchain Finance,3500000,11-50,
14059,Haruko,10133160,1-10,
14149,Brickken,2528128,11-50,
14178,SPiCE VC,40000000,,
14225,Hxro,49000000,11-50,
14312,CoinLoan,3050000,11-50,
14315,OriginTrail,22500000,1-10,
14316,KYVE,3800000,1-10,
14320,HiFi Bridge,4000000,1-10,
14330,Strips Finance,19500000,,
14349,Pillow,3000000,1-10,
14360,AlgoTrader,11821566,11-50,
14420,DMG Blockchain Solutions,100987637,11-50,
14466,Pundi X,35000000,11-50,8
14466,Pundi X,35000000,11-50,2
14467,Skuchain,12396341,11-50,2
14511,Jump Capital,,11-50,
14512,Soundmint,1700000,11-50,2
14530,PlanetWatch,12648832,11-50,
14552,GlobeDX,21150000,1-10,
14559,TabTrader,7442113,11-50,2
14574,Angelic,10000000,1-10,26
14577,Commonwealth Labs,5200000,1-10,6
14577,Commonwealth Labs,5200000,1-10,2
14622,FQX,6700000,11-50,
14651,Fabric Ventures,,11-50,
14661,Syndica,8000000,11-50,4
14672,Coinrule,3549715,11-50,
14700,R3,112000000,101-250,21
14701,Liquality,7000000,1-10,
14708,NDAX,1208573,11-50,
14729,BOSONIC,24740020,11-50,
14741,Prime Protocol,2750000,1-10,2
14783,Public.com,308500000,101-250,
14786,Kyro Digital Corp.,14417525,11-50,
14814,Global Blockchain,33725002,11-50,
14865,Blox,30075000,11-50,
14889,Levelfield Financial,9333800,11-50,
14898,Cent,3000000,1-10,
14912,Lightnet,80200000,11-50,
14952,Rare Circles,7500000,1-10,
15011,HOPR,2015000,11-50,
15041,Swim,4000000,1-10,3
15041,Swim,4000000,1-10,2
15057,Arival,10795375,11-50,
15070,Uniswap,,1-10,22
15117,Argo Mining,30732800,1-10,
15155,PoolTogether,8000000,1-10,
15156,Tokeny Solutions,11371966,11-50,
